1,-0.5,-0.5,2
2,0.29775,0.34553,0.25449
3,0.11813,-0.41223,0.98893
4,-0.23137,-0.28572,1.0734
5,-0.18502,-0.21411,0.98955
6,-0.056978,0.4538,0.55889
7,-0.11879,-0.43858,1.1242
8,0.41076,0.041792,0.46682
9,-0.21707,0.024466,0.86042
10,0.46547,0.20014,0.30184
11,0.4469,-0.25724,0.7591
12,0.060607,0.026865,0.6457
13,0.3544,-0.12878,0.64541
14,0.43981,-0.4854,0.98724
15,0.088824,0.037841,0.61859
16,-0.30254,-0.44585,1.2404
17,-0.35228,-0.48735,1.3043
18,0.10019,0.054954,0.59826
19,0.096477,-0.27537,0.87409
20,0.32462,-0.20853,0.72991
21,-0.43275,-0.2357,1.188
22,0.39417,-0.15719,0.66566
23,-0.35386,0.13292,0.92942
24,0.14008,0.40281,0.37281
25,-0.12976,0.23236,0.68427
26,-0.013622,0.44427,0.51664
27,0.39443,-0.33397,0.84062
28,0.34935,0.33544,0.2231
29,-0.028992,0.37247,0.54415
30,0.3385,-0.20765,0.72584
31,-0.44916,-0.43814,1.3345
32,-0.30851,0.39675,0.81508
33,0.0804,0.37566,0.43764
34,-0.055663,0.29836,0.59112
35,-0.18281,-0.47506,1.1904
36,-0.39826,-0.18715,1.131
37,-0.3491,-0.09476,1.0367
38,0.30727,-0.084634,0.61558
39,0.056162,0.18653,0.54338
40,0.35985,0.34227,0.211
41,-0.10099,-0.45379,1.1273
42,-0.28474,0.02677,0.91639
43,0.31718,0.24032,0.31758
44,-0.27926,0.10993,0.87144
45,0.3127,-0.41626,0.93521
46,0.26583,-0.26728,0.80222
47,-0.43602,-0.41341,1.3078
48,-0.21203,-0.28226,1.0578
49,-0.3521,0.077718,0.951
50,-0.32055,-0.49816,1.2921
51,-0.49842,-0.00022996,1.1167
52,-0.21633,0.020732,0.86187
53,0.43545,-0.2052,0.70815
54,-0.38218,0.2682,0.91212
55,0.098789,-0.0088201,0.64797
56,-0.11788,-0.22325,0.95125
57,-0.23705,0.24045,0.78142
58,0.39845,0.41075,0.1352
59,-0.034464,0.25096,0.58964
60,0.11367,0.11928,0.5424
61,0.10765,-0.15334,0.7621
62,0.047586,-0.36785,0.97869
63,0.26688,0.1537,0.41746
64,0.04616,0.30438,0.49421
65,-0.38462,-0.36959,1.2405
66,0.28452,0.35936,0.25732
67,-0.35342,0.15435,0.92076
68,0.018613,-0.49458,1.105
69,0.19641,0.26404,0.38451
70,0.0048277,0.41,0.50328
71,-0.34727,-0.27782,1.1502
72,-0.49072,0.31074,1.0086
73,0.43438,-0.41455,0.9169
74,0.14841,-0.39493,0.96152
75,0.13512,-0.20831,0.79676
76,0.38422,-0.15267,0.66286
77,0.23357,0.49882,0.26644
78,-0.4041,-0.0519,1.0592
79,-0.22249,0.218,0.77558
80,-0.40644,-0.44237,1.3076
81,0.23237,-0.26232,0.80794
82,-0.25546,0.20488,0.81105
83,-0.26643,0.10283,0.86322
84,-0.40803,0.40191,0.91332
85,0.0080828,0.12501,0.61855
86,0.17226,-0.21914,0.7903
87,-0.14483,-0.36326,1.0775
88,0.042113,-0.26684,0.89314
89,0.028683,0.46777,0.47242
90,-0.49188,-0.041602,1.1301
91,0.23667,0.3893,0.28565
92,0.39095,0.12817,0.38749
93,0.16407,0.25863,0.41365
94,0.14013,-0.016918,0.62985
95,-0.33281,0.058019,0.94283
96,0.15226,-0.34665,0.91528
97,0.32188,-0.025471,0.55484
98,-0.44709,-0.40722,1.3115
99,-0.24714,-0.3365,1.1216
100,0.5,0.5,0
